7	[heputo]\n▪<i><font face='mono'>adjective</font></i>\n7: <i><font color='#404040'>En 7 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
8	[okuta]\n▪<i><font face='mono'>adjective</font></i>\n8: <i><font color='#404040'>En 8 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
9	[nei]\n▪<i><font face='mono'>adjective</font></i>\n9: <i><font color='#404040'>En 9 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
<-x	[(su)pagu]\n▪<i><font face='mono'>language construct</font></i>\n(anaphor indicator) \n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
>>	\n▪<i><font face='mono'>language construct</font></i>\nTras: <i><font color='#404040'>Rrha ki ra nha-HYMMNOS1x01 >> pat mea en xest SOL=MARTA > A2&nbsp;&nbsp;—<font size='1'>EXEC_SOL=FAGE/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central\n
ADDR	[?]\n▪<i><font face='mono'>language construct</font></i>\naddress designation \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
Chronicle Key	\n▪<i><font face='mono'>n.</font></i>\nChronicle Key (a hymn)\n\n<b>&lt;DIALECT&gt;</b> Alpha (Eolia)\n
D_CELL	[D serofan]\n▪<i><font face='mono'>language construct</font></i>\nD-Cellophane \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
Despedia	\n▪<i><font face='mono'>n.</font></i>\nDespedia (a hymn)\n\n<b>&lt;DIALECT&gt;</b> \n
Dia	[dia]\n▪<i><font face='mono'>n.</font></i>\nking, throne, ruler: <i><font color='#404040'>Hyear Ma num ra gyusya yorr ee Dia oz ruinien&nbsp;&nbsp;—<font size='1'>EXEC_DESPEDIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
EXA_PICO	[ekusapi^ko]\n▪<i><font face='mono'>noun</font></i>\nExa Pico \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
Fou	[fou]\n▪<i><font face='mono'>E.s. I</font></i>\nA little: <i><font color='#404040'>Fou hellei ga&nbsp;&nbsp;—<font size='1'>EXEC_HARMONIOUS_FUSION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
Haibanation	[haiba^neshon]\n▪<i><font face='mono'>n.</font></i>\nHibernation (a hymn)\n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
Harmonius	\n▪<i><font face='mono'>n.</font></i>\nHarmonious (a hymn)\n\n<b>&lt;DIALECT&gt;</b> Central\n
Implanta	[imupuranta]\n▪<i><font face='mono'>n.</font></i>\nImplanta (a hymn); God's Tree in the myths of Metafalss, fruit, seed: <i><font color='#404040'>x. sorr a.u.k. mutrk rhaplanca en Implanta&nbsp;&nbsp;—<font size='1'>METHOD_METAFALICA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
Linca	[rinka]\n▪<i><font face='mono'>n.</font></i>\nLinker (a hymn)\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
Ma	[ma]\n▪<i><font face='mono'>E.s. I</font></i>\npresence of mind: <i><font color='#404040'>Ma ki ga ks maya yor syec&nbsp;&nbsp;—<font size='1'>Singing Hill</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
Manac	[manaku]\n▪<i><font face='mono'>n.</font></i>\ntrue name, name of soul: <i><font color='#404040'>knawa Manac yor Manac&nbsp;&nbsp;—<font size='1'>EXEC_DESPEDIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Cult Ciel Note\n
Maoh	\n▪<i><font face='mono'>n.</font></i>\nRhaplanca's partner in the myths of Metafalss.\n\n<b>&lt;DIALECT&gt;</b> Ancient Metafalss\n
Meta	[?]\n▪<i><font face='mono'>noun</font></i>\nMid-sized mountainous region \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
Metafalica	[metafarika]\n▪<i><font face='mono'>n.</font></i>\nMetafalica (a hymn), Song of Hope (to Mir), Song of Creation, Utopia: <i><font color='#404040'>Faura selena anw Metafalica&nbsp;&nbsp;—<font size='1'>EXEC_HARMONIOUS</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Metafalss Note\n
Nn	[n]\n▪<i><font face='mono'>E.s. I</font></i>\nlethargy: <i><font color='#404040'>Nn i ga exec hymme METAFALICA >> SOL=FAGE/1x10 enter FRELIA&nbsp;&nbsp;—<font size='1'>EXEC_METAFALICA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
Paja	[pa^ja]\n▪<i><font face='mono'>n.</font></i>\nPurger (a hymn)\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
Phantasmagoria	[fantasumagoria]\n▪<i><font face='mono'>n.</font></i>\nPhantasmagoria (a hymn)\n\n<b>&lt;DIALECT&gt;</b> Alpha Note (EOLIA)\n
Re=Nation	[rineishon]\n▪<i><font face='mono'>n.</font></i>\nRe-Nation (a hymn)\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
Replekia	\n▪<i><font face='mono'>n.</font></i>\nReplakia (a hymn)\n\n<b>&lt;DIALECT&gt;</b> \n
Rhaplanca	\n▪<i><font face='mono'>n.</font></i>\na goddess from Meta Falss' mythology, and Maoh's partner: <i><font color='#404040'>Rhaplanca selena phira&nbsp;&nbsp;—<font size='1'>EXEC_METAFALICA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Ancient Metafalss\n
Rig=Veda	[riguve^da]\n▪<i><font face='mono'>n.</font></i>\nRigveda (a hymn)\n\n<b>&lt;DIALECT&gt;</b> Metafalss Note\n
Rrha	[ra]\n▪<i><font face='mono'>E.s. I</font></i>\ntrance state (Note: Used only for a trance state in which the emotions of the singer aren't really expressed. Naturally, when this emotion sound is used, it doesn't show the same calm and composure of the other emotion sounds, and it flows by itself from the mouth of the singer): <i><font color='#404040'>Rrha yea ra rinc en echrra yor rre walasye jyel got ieeya&nbsp;&nbsp;—<font size='1'>Singing Hill - Harmonics FRELIA </font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
Sol=Fage	\n▪<i><font face='mono'>n.</font></i>\nSolfege (a hymn)\n\n<b>&lt;DIALECT&gt;</b> \n
Sphilia	\n▪<i><font face='mono'>n.</font></i>\nSphilia (a hymn)\n\n<b>&lt;DIALECT&gt;</b> \n
Sublimation	\n▪<i><font face='mono'>n.</font></i>\nSublimation (a hymn), sublimation (as in disappear)\n\n<b>&lt;DIALECT&gt;</b> \n
Suspend	[sasupendo]\n▪<i><font face='mono'>n.</font></i>\nSuspend (a hymn)\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
U-TA	[?]\n▪<i><font face='mono'>noun</font></i>\nsong \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
VIENA	\n▪<i><font face='mono'>n.</font></i>\nViena (a hymn): <i><font color='#404040'>Wee yea ra exec hymme VIENA >> SOL=FAGE/1x10 enter FRELIA&nbsp;&nbsp;—<font size='1'>EXEC_VIENA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> \n
Was	[wasu]\n▪<i><font face='mono'>E.S.I</font></i>\nvery intensely: <i><font color='#404040'>Was yea ra hymme dilete yor enter ar ciel yehar&nbsp;&nbsp;—<font size='1'>Singing Hill - Harmonics FRELIA </font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
Wee	[ui]\n▪<i><font face='mono'>E.S.I</font></i>\nfairly: <i><font color='#404040'>Wee ki ra ene rre sor hymme ar ciel en rre hymmnos ee powel&nbsp;&nbsp;—<font size='1'>Singing Hill - Harmonics FRELIA </font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
a.u.k.	[auku]\n▪<i><font face='mono'>E.v.</font></i>\nbe: <i><font color='#404040'>x. rre omness a.u.k. zodaw ess rudje noglle doodu&nbsp;&nbsp;—<font size='1'>EXEC_over.METHOD_SUBLIMATION/.~lamenza</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
accrroad	[akuro^do]\n▪<i><font face='mono'>v.</font></i>\ngive, send: <i><font color='#404040'>Hymmnos oz faura pomb na omnis den accrroad&nbsp;&nbsp;—<font size='1'>EXEC_HARMONIOUS_FUSION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
acra	[akura]\n▪<i><font face='mono'>adv.</font></i>\nsurely, certainly (Note: Used for expressing something that's highly probable to happen): <i><font color='#404040'>yorr acra firle wael&nbsp;&nbsp;—<font size='1'>EXEC_HARMONIOUS_FUSION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
adyya	[adei^a]\n▪<i><font face='mono'>n.</font></i>\ntoday\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
afezeria	[afezeria]\n▪<i><font face='mono'>v.</font></i>\nbless: <i><font color='#404040'>wassee zess frawr bautifal en afezeria&nbsp;&nbsp;—<font size='1'>EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
ag	[agu]\n▪<i><font face='mono'>conj.</font></i>\nand (Note: Equivalent to the English "and"): <i><font color='#404040'>x. harr h.m.m.r. eje ag dazua&nbsp;&nbsp;—<font size='1'>METHOD_REPLEKIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
aiph	[aifu]\n▪<i><font face='mono'>conj.</font></i>\nif: <i><font color='#404040'>Nnoi crown aiph arsye yor&nbsp;&nbsp;—<font size='1'>The Heart Speaks</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
aje	[ajie]\n▪<i><font face='mono'>adj.</font></i>\nnew: <i><font color='#404040'>x. harr m.r.r. aje tafane sphaela&nbsp;&nbsp;—<font size='1'>METHOD_REPLEKIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
akata	[akata]\n▪<i><font face='mono'>n.</font></i>\nstory: <i><font color='#404040'>Yanyaue akata messe anw hymmne an fhyu&nbsp;&nbsp;—<font size='1'>EXEC_VIENA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
ale	[a^re]\n▪<i><font face='mono'>n.</font></i>\nsound\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
alroen	[?]\n▪<i><font face='mono'>n.</font></i>\nProof, testimony\n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
alroetsue	[auroettoyu^e]\n▪<i><font face='mono'>adj.</font></i>\nof atonement, of recompense\n\n<b>&lt;DIALECT&gt;</b> Metafalss Note\n
ammue	[amyu]\n▪<i><font face='mono'>n.</font></i>\nsound, sound waves\n\n<b>&lt;DIALECT&gt;</b> Cult Ciel Note\n
amyure	[?]\n▪<i><font face='mono'>noun</font></i>\nrepentance, penitence \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
an	[an]\n▪<i><font face='mono'>adv.</font></i>\ntogether: <i><font color='#404040'>an Spiritum Sanctum&nbsp;&nbsp;—<font size='1'>EXEC_PURGER/.#Aurica extracting</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
anw	[anwa , anu]\n▪<i><font face='mono'>prep.</font></i>\n(direct object marker) (Note: The pronunciation changes depending on if the last letter of the preceeding word was a vowel or consonant. The pronunciation used ("anwa" or "anu") depends on which one the speaker thinks that flows and sounds better with the rest of the phrase): <i><font color='#404040'>Rrha ki ra parge_HYMMNOS/1x01 anw SOL=MARTA > A2.&nbsp;&nbsp;—<font size='1'>EXEC_SOL=FAGE/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Metafalss Note\n
apea	[apea]\n▪<i><font face='mono'>E.s. (II)</font></i>\nimmersed in happiness: <i><font color='#404040'>Was apea ra chs yuez en yanje yanje pitod yor&nbsp;&nbsp;—<font size='1'>EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Cult Ciel Note\n
ar	[aru]\n▪<i><font face='mono'>adj.</font></i>\nonly, unique: <i><font color='#404040'>Wee ki ra ene rre sor hymme ar ciel en rre hymmnos ee powel&nbsp;&nbsp;—<font size='1'>Singing Hill - Harmonics FRELIA </font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
araus	[?]\n▪<i><font face='mono'>v./n.</font></i>\nexchange: <i><font color='#404040'>Wee ki ra araus tes soare en giue mea iem&nbsp;&nbsp;—<font size='1'>EXEC_CHRONICLE KEY</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
arhou	[a^fu^]\n▪<i><font face='mono'>n.</font></i>\nhope, wish, blessing: <i><font color='#404040'>x. rre h.k.t.t nafan ouwua siann arhou&nbsp;&nbsp;—<font size='1'>METHOD_REPLEKIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
arrya	[arya]\n▪<i><font face='mono'>n.</font></i>\narrow\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
arsye	[a^shie]\n▪<i><font face='mono'>v.</font></i>\nshare: <i><font color='#404040'>Nnoi crown touwaka arsye yor&nbsp;&nbsp;—<font size='1'>The Heart Speaks</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
art	[aruto]\n▪<i><font face='mono'>conj.</font></i>\nbecause of, by means of: <i><font color='#404040'>fulual 1 dornpica art 1 walasye enne&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
asyar	[?]\n▪<i><font face='mono'>verb</font></i>\nmelt into \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
aterra	[?]\n▪<i><font face='mono'>v./n.</font></i>\naccept, receive: <i><font color='#404040'>presia aterra cremia sos viuy lonfa&nbsp;&nbsp;—<font size='1'>EXEC_CHRONICLE KEY</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
ates	[?]\n▪<i><font face='mono'>v.</font></i>\naccept, receive: <i><font color='#404040'>Was paks ra ates omnis&nbsp;&nbsp;—<font size='1'>EXEC_with.METHOD_METAFALICA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
au	[au]\n▪<i><font face='mono'>E.s. (II)</font></i>\nsad: <i><font color='#404040'>Was au ga whai pauwel ferda enter whou na nedle sor&nbsp;&nbsp;—<font size='1'>EXEC_CHRONICLE KEY</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Alpha Note (EOLIA)\n
aulla	[aura]\n▪<i><font face='mono'>v.</font></i>\nopen, disclose, reveal: <i><font color='#404040'>mea irs here aulla omnis&nbsp;&nbsp;—<font size='1'>EXEC_SPHILIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
ayulsa	[ayurusa]\n▪<i><font face='mono'>n.</font></i>\neternity, for the eternity, continues forever: <i><font color='#404040'>x. rre f.r.l. h.l.s.s. ayulsa dazua&nbsp;&nbsp;—<font size='1'>METHOD_REPLEKIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
balduo	[barudou^]\n▪<i><font face='mono'>adj.</font></i>\ndark, of darkness, unable to be seen: <i><font color='#404040'>x. sorr k.v.r. du qejyu dn balduo&nbsp;&nbsp;—<font size='1'>METHOD_REPLEKIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
bale	[bare]\n▪<i><font face='mono'>n.</font></i>\nball, jewel\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
bansh	[banshu]\n▪<i><font face='mono'>v.</font></i>\n(violently) open (a door etc.)\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
basilic	[bajiriku]\n▪<i><font face='mono'>n.</font></i>\nbig snake, (derivative meanings) gun, cannon\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
bautifal	[bateifaru]\n▪<i><font face='mono'>adj.</font></i>\nbeautiful: <i><font color='#404040'>Was yea ra vit bautifal faura anw dornpica&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
beja	[beja]\n▪<i><font face='mono'>v.</font></i>\ndirty, defile: <i><font color='#404040'>Vinan wis pitod re beja&nbsp;&nbsp;—<font size='1'>Colors~SEN~Will This Flower Bloom? 	</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Cult Ciel Note\n
beng	[bengu]\n▪<i><font face='mono'>conj.</font></i>\nbefore (time), ago\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
bengnuih	[benui]\n▪<i><font face='mono'>n.</font></i>\nevening, dusk\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
bexm	[bezumu]\n▪<i><font face='mono'>v.</font></i>\ncome (time): <i><font color='#404040'>En 1 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
biron	[biron]\n▪<i><font face='mono'>v.</font></i>\ncontinue: <i><font color='#404040'>Rrha ki ra biron wael wassa&nbsp;&nbsp;—<font size='1'>EXEC_SOL=FAGE/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
bister	[bisuteru]\n▪<i><font face='mono'>n.</font></i>\nbeast: <i><font color='#404040'>chs bister en rana anw dor&nbsp;&nbsp;—<font size='1'>EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
boches	[bochiesu]\n▪<i><font face='mono'>n.</font></i>\nmouth\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
boh	[boffu]\n▪<i><font face='mono'>adj.</font></i>\nexplosive, supernatural\n\n<b>&lt;DIALECT&gt;</b> Metafalss Note\n
brinch	[burinku]\n▪<i><font face='mono'>n.</font></i>\nbranch\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
briyante	[buriiyante]\n▪<i><font face='mono'>n.</font></i>\nvoices of delight, voices of joy: <i><font color='#404040'>Rrha ki ra briyante fayra&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Metafalss Note\n
briyua	[?]\n▪<i><font face='mono'>adjective</font></i>\nhappy, joyful \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
burle	[buure]\n▪<i><font face='mono'>adj./n.</font></i>\nblue: <i><font color='#404040'>celetille burle bautifal grrena&nbsp;&nbsp;—<font size='1'>Colors~SEN~Will This Flower Bloom? 	</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
byui	[?]\n▪<i><font face='mono'>conj.</font></i>\nblame, cause of: <i><font color='#404040'>x. rre h.m.m.r. byui q.l.s. du sechel&nbsp;&nbsp;—<font size='1'>METHOD_REPLEKIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Pastalie [Unofficial]\n
c.z.	[suzu]\n▪<i><font face='mono'>E.v.</font></i>\ntransform: <i><font color='#404040'>c.z. yor li yanje&nbsp;&nbsp;—<font size='1'>jy ra cc ci ce je xa jy r acc ci ce je xa rcc jy ra cc ar foul</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
calamila	[?]\n▪<i><font face='mono'>noun</font></i>\ncatastrophe \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
cause	[kauze]\n▪<i><font face='mono'>v.</font></i>\ncurse, torment: <i><font color='#404040'>Rrha paks ra chs shazra cause yor&nbsp;&nbsp;—<font size='1'>EXEC_DESPEDIA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Metafalss Note\n
cecet	[keketo]\n▪<i><font face='mono'>n.</font></i>\nshield\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
ceku	[seku]\n▪<i><font face='mono'>n.</font></i>\nfriend, comrade, companion, comrade\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
celetille	[sereteiru]\n▪<i><font face='mono'>adj.</font></i>\nvivid, clear, fresh, beautiful: <i><font color='#404040'>celetille clalliss xel marta pom mea&nbsp;&nbsp;—<font size='1'>EXEC_HARMONIOUS_FUSION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
celle	[serure]\n▪<i><font face='mono'>adv.</font></i>\nheavenly: <i><font color='#404040'>ciel ar celle weak ar quive&nbsp;&nbsp;—<font size='1'>Colors~SEN~Will This Flower Bloom? 	</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
cenjue	[chienjue]\n▪<i><font face='mono'>v.</font></i>\nchange, transform (Note: Has stronger connotations than "chs". This one doesn't mean the "wish" to change, but rather actually changing. It's an orthodox word not used by normal people. If it's preceeded by "na", then it takes the opposite meaning: indicating extreme firmness and determination): <i><font color='#404040'>en whai pauwel gaunji yasra whou na cenjue sor tou zuieg&nbsp;&nbsp;—<font size='1'>EXEC_CHRONICLE KEY</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Metafalss Note\n
cerchio	[chierukio]\n▪<i><font face='mono'>n.</font></i>\npossibility\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
cest	[sesuto]\n▪<i><font face='mono'>adj./n.</font></i>\nof the true, true, real, truth: <i><font color='#404040'>celetille clalliss cest innna mea&nbsp;&nbsp;—<font size='1'>Colors~SEN~Will This Flower Bloom? 	</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
cexm	[sezumu]\n▪<i><font face='mono'>v.</font></i>\ncome (person), visit: <i><font color='#404040'>Wee yea ra wael dauan bexm xl yor cexm mea&nbsp;&nbsp;—<font size='1'>EXEC_VIENA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
chanti	[shantei]\n▪<i><font face='mono'>n./v.</font></i>\npraise, reward: <i><font color='#404040'>weal acra yorr chanti mea&nbsp;&nbsp;—<font size='1'>EXEC_HARMONIOUS_FUSION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
chess	\n▪<i><font face='mono'>n./v.</font></i>\nkiss: <i><font color='#404040'>chess tes rudje&nbsp;&nbsp;—<font size='1'>EXEC_HARMONIOUS_FUSION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> \n
chiess	[chiesu]\n▪<i><font face='mono'>n./v.</font></i>\nkiss\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
chs	[chisu]\n▪<i><font face='mono'>v.</font></i>\nbecome (Note: Used metaphorically for whenever one wishes to change completely. It has an enormous variety of uses): <i><font color='#404040'>Was yea ra chs mea yor en fwal&nbsp;&nbsp;—<font size='1'>Singing Hill</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
chsee	[chi^se]\n▪<i><font face='mono'>v.</font></i>\ntransform into ~ (Note: Indicates increase, partial change or reductions on oneself or in the target. In short, it's used to express partial physical change).: <i><font color='#404040'>En chsee fwal fwal mea&nbsp;&nbsp;—<font size='1'>EXEC_LINKER</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
chyet	[shietsu]\n▪<i><font face='mono'>adj.</font></i>\nchosen, particular\n\n<b>&lt;DIALECT&gt;</b> Cult Ciel Note\n
cia	[shia]\n▪<i><font face='mono'>n.</font></i>\nsky: <i><font color='#404040'>ar w.r.l. du cia dn ryewa keg&nbsp;&nbsp;—<font size='1'>METHOD_METAFALICA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> New Testament of Pastalie\n
ciel	[shie^ru]\n▪<i><font face='mono'>n.</font></i>\nsky, (translated usually as) world: <i><font color='#404040'>Wee ki ra ene rre sor hymme ar ciel en rre hymmnos ee powel&nbsp;&nbsp;—<font size='1'>Singing Hill - Harmonics FRELIA </font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
ciellenne	[shierure^nie]\n▪<i><font face='mono'>n.</font></i>\nthe skies\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
cietta	[?]\n▪<i><font face='mono'>conjunction</font></i>\nbecause, but, although \n\n<b>&lt;DIALECT&gt;</b> Unknown [Unofficial]\n
