-	\nenter\nv.\n～に入り込む | enter ~\nCentral
Was	[wasu]\nE.S.I\nとても強烈に（第Ⅰ想音）\nvery intensely\nCentral Standard Note
Wee	[ui]\nE.S.I\nかなり（第Ⅰ想音）\nfairly\nCentral Standard Note
a.u.k.	[auku]\nE.v.\nbe動詞に相当\nbe\nNew Testament of Pastalie
accrroad	[akuro^do]\nv.\nあげる 与える\ngive, send\nCentral Standard Note
acra	[akura]\nadv.\nきっと、確かに (高い可能性を示す語句)\nsurely, certainly (Note: Used for expressing something that's highly probable to happen)\nCentral Standard Note
adyya	[adei^a]\nn.\n今日・本日\ntoday\nCentral Standard Note
afezeria	[afezeria]\nv.\n祝福する\nbless\nCentral Standard Note
ag	[agu]\nconj.\nそして、～と (and)\nand (Note: Equivalent to the English ""and"")\nNew Testament of Pastalie
aiph	[aifu]\nconj.\nもし～ならば\nif\nCentral Standard Note
aje	[ajie]\nadj.\n新しい\nnew\nNew Testament of Pastalie
akata	[akata]\nn.\n物語\nstory\nCentral Standard Note
ale	[a^re]\nn.\n音\nsound\nNew Testament of Pastalie
alroen	[?]\nn.\n証\nProof, testimony\nUnknown [Unofficial]
alroetsue	[auroettoyu^e]\nadj.\n贖いの、償いの\nof atonement, of recompense\nMetafalss Note
ammue	[amyu]\nn.\n音、（音の）波動\nsound, sound waves\nCult Ciel Note
amyure	[?]\nnoun\n懺悔 \nrepentance, penitence \nUnknown [Unofficial]
an	[an]\nadv.\n～と共に\ntogether\nCentral Standard Note
anw	[anwa , anu]\nprep.\n～を (後ろに来るアルファベットが子音か母音か等、状況によって、最後の発音が変化します。 後ろの単語とつなげて発音した時、より音がきれいに流れる発音を選択してください。)\n(direct object marker) (Note: The pronunciation changes depending on if the last letter of the preceeding word was a vowel or consonant. The pronunciation used (""anwa"" or ""anu"") depends on which one the speaker thinks that flows and sounds better with the rest of the phrase)\nMetafalss Note
apea	[apea]\nE.s. (II)\n幸せでぽわー\nimmersed in happiness\nCult Ciel Note
ar	[aru]\nadj.\n唯一つの\nonly, unique\nCentral Standard Note
araus	[?]\nv./n.\n取替\nexchange\nUnknown [Unofficial]
arhou	[a^fu^]\nn.\n希望, 恩恵\nhope, wish, blessing\nNew Testament of Pastalie
arrya	[arya]\nn.\n矢\narrow\nCentral Standard Note
arsye	[a^shie]\nv.\n分け合う\nshare\nCentral Standard Note
art	[aruto]\nconj.\n～によって\nbecause of, by means of\nCentral Standard Note
asyar	[?]\nverb\n溶く \nmelt into \nUnknown [Unofficial]
aterra	[?]\nv./n.\n受け入れる\naccept, receive\nUnknown [Unofficial]
ates	[?]\nv.\n受け入れる\naccept, receive\nUnknown [Unofficial]
au	[au]\nE.s. (II)\n悲しい\nsad\nAlpha Note (EOLIA)
aulla	[aura]\nv.\n開く、開放する、開示する、明かす\nopen, disclose, reveal\nCentral Standard Note
ayulsa	[ayurusa]\nn.\n永遠, 永遠に、ずっと続く\neternity, for the eternity, continues forever\nNew Testament of Pastalie
balduo	[barudou^]\nadj.\n暗い、暗黒の、見えない, 闇\ndark, of darkness, unable to be seen\nNew Testament of Pastalie
bale	[bare]\nn.\n玉\nball, jewel\nCentral Standard Note
bansh	[banshu]\nv.\n（荒々しく扉などを）開く\n(violently) open (a door etc.)\nCentral Standard Note
basilic	[bajiriku]\nn.\n大砲 (大蛇。(転じて)大砲)\nbig snake, (derivative meanings) gun, cannon\nCentral Standard Note
bautifal	[bateifaru]\nadj.\n美しい、綺麗な\nbeautiful\nCentral Standard Note
beja	[beja]\nv.\n汚す\ndirty, defile\nCult Ciel Note
beng	[bengu]\nconj.\n以前 （時間的に）前\nbefore (time), ago\nCentral Standard Note
bengnuih	[benui]\nn.\n夕刻 夕方 黄昏れ\nevening, dusk\nCentral Standard Note
bexm	[bezumu]\nv.\n（時間が）来る、訪れる\ncome (time)\nCentral Standard Note
biron	[biron]\nv.\n続く\ncontinue\nCentral Standard Note
bister	[bisuteru]\nn.\n獣 野獣\nbeast\nCentral Standard Note
boches	[bochiesu]\nn.\n口\nmouth\nCentral Standard Note
boh	[boffu]\nadj.\n爆発的な、超常的な\nexplosive, supernatural\nMetafalss Note
brinch	[burinku]\nn.\n枝\nbranch\nCentral Standard Note
briyante	[buriiyante]\nn.\n歓喜の声、喜びの声\nvoices of delight, voices of joy\nMetafalss Note
briyua	[?]\nadjective\n喜びの \nhappy, joyful \nUnknown [Unofficial]
burle	[buure]\nadj./n.\n青 青い 蒼\nblue\nCentral Standard Note
byui	[?]\nconj.\n糾弾\nblame, cause of\nPastalie [Unofficial]
c.z.	[suzu]\nE.v.\n変化する\ntransform\nNew Testament of Pastalie
calamila	[?]\nnoun\n禍い \ncatastrophe \nUnknown [Unofficial]
cause	[kauze]\nv.\n呪う、苦しめる\ncurse, torment\nMetafalss Note
cecet	[keketo]\nn.\n盾\nshield\nCentral Standard Note
ceku	[seku]\nn.\n友・友人・同士・同胞\nfriend, comrade, companion, comrade\nNew Testament of Pastalie
celetille	[sereteiru]\nadj.\n鮮やかな、新鮮な、美しい、綺麗な\nvivid, clear, fresh, beautiful\nCentral Standard Note
celle	[serure]\nadv.\n天高く\nheavenly\nCentral Standard Note
cenjue	[chienjue]\nv.\n変化する、変える、変更する (chsより強烈であり、強制力の強いもの。既に「願い」ではなく「使役」。正教語であり一般人は使えない。「na」と合わせることで、「逆言」的な効果を持って強固な意志を表現する。)\nchange, transform (Note: Has stronger connotations than ""chs"". This one doesn't mean the ""wish"" to change, but rather actually changing. It's an orthodox word not used by normal people. If it's preceeded by ""na"", then it takes the opposite meaning: indicating extreme firmness and determination)\nMetafalss Note
cerchio	[chierukio]\nn.\n可能性\npossibility\nCentral Standard Note
cest	[sesuto]\nadj./n.\n真実の、真の、本当の、真実\nof the true, true, real, truth\nCentral Standard Note
cexm	[sezumu]\nv.\n（人や物が）来る、訪れる\ncome (person), visit\nCentral Standard Note
chanti	[shantei]\nn./v.\n褒める、賞讃する、賞賛\npraise, reward\nCentral Standard Note
chess	\nn./v.\n接吻する\nkiss\n
chiess	[chiesu]\nn./v.\nキスする、口づけする、キス\nkiss\nCentral Standard Note
chs	[chisu]\nv.\n～になる (自分自身の形が完全に変わってしまうとき、もしくはモノの例えとして使う場合はこちら。何かと使われることが多い。)\nbecome (Note: Used metaphorically for whenever one wishes to change completely. It has an enormous variety of uses)\nCentral Standard Note
chsee	[chi^se]\nv.\n～に変化する (自分や対象物に何かがプラスされる、一部変化する、何かが減るといった、部分的な物理変化を意味する。)\ntransform into ~ (Note: Indicates increase, partial change or reductions on oneself or in the target. In short, it's used to express partial physical change).\nCentral Standard Note
chyet	[shietsu]\nadj.\n選ばれた、特別\nchosen, particular\nCult Ciel Note
cia	[shia]\nn.\n空\nsky\nNew Testament of Pastalie
ciel	[shie^ru]\nn.\n空、（意訳で）世界\nsky, (translated usually as) world\nCentral Standard Note
ciellenne	[shierure^nie]\nn.\n天空\nthe skies\nCentral Standard Note
cietta	[?]\nconjunction\nだって \nbecause, but, although \nUnknown [Unofficial]
clalliss	[kurarisu]\nn./v.\n色、色をつける\ncolor\nCentral Standard Note
clamour	[kurama^]\nn.\n膝\nknee, lap\nCentral Standard Note
clare	[kurare]\nadj.\n透明な 透き通った\nclear, transparent\nCentral Standard Note
clemezen	[kuremuzen]\nadj./n.\n狂気、気が触れた、狂った\ninsane, insanity\nCentral Standard Note
clyncye	[kurinshie]\nn.\n純粋、無色\npurity, colorlessness\nCult Ciel Note
coall	[?]\nverb\n還る \nreturn \nUnknown [Unofficial]
colga	[kuoruga]\nn.\n氷\nice\nCentral Standard Note
colgen	[?]\nv./adj.\n凍った\nfreeze, frozen\nUnknown [Unofficial]
coree	[?]\npreposition\n胸の中の \nwithin my heart \nUnknown [Unofficial]
corle	[?]\nnoun\nかけら \nshard, fragment \nUnknown [Unofficial]
corpu	[?]\nnoun\n肉体 \nbody, flesh \nUnknown [Unofficial]
crannidale	[kuranida^re]\nv.\n分かち合う\nshare, (possible alternate translation) believe\nMetafalss Note
cremia	[?]\nv./n,\n救済\nsalvation\nUnknown [Unofficial]
crown	[?]\nn.\n杯\ncup (for beverages)\nUnknown [Unofficial]
crudea	[kuru^dea]\nn.\n苦しみ、苦悩\nanguish, suffering\nMetafalss Note
crushue	[kurushu^e]\nv.\n紡ぐ\nspin (fabric), (translated usually as) craft\nMetafalss Note
cupla	[kyupuru]\nn.\n罪\nsin\nCentral Standard Note
cyuie	[kyui]\nadj.\n切ない、悲しい\nsad, sorrowful\nCentral Standard Note
cyurio	[kyurio]\nn.\n理、秩序\nreason, logic, order\nCentral Standard Note
d.n.	[doun]\nE.v.\n踊る\ndance\nNew Testament of Pastalie
d.n.g.	[?]\nE.v.\n穿つ\npierce\nPastalie [Unofficial]
d.r.s.n.	[?]\nE.v.\n伝えられている\nhanded down, passed down, passed on\nPastalie [Unofficial]
d.s.s.n.	[?]\nE.v.\n解決を求める\naccept the atonement\nPastalie [Unofficial]
d.z.	[zu]\nE.v.\n死ぬ\ndie\nNew Testament of Pastalie
daedu	[daedousu]\nn.\n醜いもの\neyesore, something ugly\nNew Testament of Pastalie
daf	[?]\npreposition\n? \nfor, that \nUnknown [Unofficial]
dand	[dando]\nn.\nドア\ndoor\nCentral Standard Note
dauan	[dauan]\nn.\n夜明け\ndawn\nCentral Standard Note
dauane	[dauane]\nadj.\n夜明けの\nof the dawn\nCentral Standard Note
dazua	[?]\nn./adj.\n闇\ndarkness, dark\nPastalie [Unofficial]
dea	[?]\npreposition, particle\n~で \nwith, by means of \nUnknown [Unofficial]
deata	[da^te]\nv.\n裁かれる、裁きをうける、断罪される\njudge, convict, administer judgment\nCult Ciel Note
deggeez	[deiji^zu]\nv./n.\n裏切る、背く\nbetray, disobey, betrayal\nCentral Standard Note
degle	[deguru]\nv.\n滅ぼす\ndestroy, overthrow, ruin\nCult Ciel Note
dejuy	[dejui]\nn.\n贖罪\natonement\nNew Testament of Pastalie
deleir	[dereia]\nn.\n災い、禍、災厄\ncalamity, disaster\nAlpha Note (EOLIA)
delij	[douerijji]\nv.\n嫌う、嫌がる、疎む\nhate, shun, neglect\nAlpha Note (EOLIA)
den	[den]\nconj.\nしかし、でも、けれど、～だが (反対の接続語)\nhowever, but, still, and yet (Note: Connective for opposite sentences)\nCentral Standard Note
denera	[denera]\nn.\n悪しきもの\nevil one\nCentral Standard Note
der	[dea]\nprep.\n～で、によって\naccording to, by means of\nMetafalss Note
desfel	[deisuferu]\nadj./v.\n嫌い、厭、厭う、いやがる\nhate, dislike, detestable, unpleasant\nMetafalss Note
dest	[?]\nverb\n滅びる、消滅する \ndestroy, obliterate, bring to an end \nUnknown [Unofficial]
deu	[?]\npreposition, particle\nそして、～と \nthus, therefore, and \nUnknown [Unofficial]
dewee	[?]\nv.\n跪け\nkneel\nUnknown [Unofficial]
dgal	[?]\nn.\n国\ncountry, land\nPastalie [Unofficial]
dhezeall	[dei^jiaru]\nn./adj.\n虜囚、虜、捕らわれ人 (囚われの、という形容詞としても使用可)\ncaptive, prisoner, imprisoned\nMetafalss Note
diasee	[deiazuie^]\nn.\n神の子\nchild of God\nMetafalss Note
didalia	[daidaria]\nadj.\n大きい\nlarge\nCult Ciel Note
dilete	[deire^te]\nn.\n神の息吹 神の加護 (詩魔法の効能は防御とステータス上昇)\nGod's breath, God's divine protection (Song Magic effects is defense and status increases)\nCentral Standard Note
discest	[deisesuto]\nv./n.\n偽る・偽装する・騙す・偽り (動詞・名詞同形で使用可)\nlie, cheat, trick\nCentral Standard Note
dius	[deiusu]\nadj.\n尊い、神々しい\ndivine, sacred, precious, valuable, sublime, solemn, noble\nCult Ciel Note
diviega	[deivie^ga]\nn., adj.\n聖なる剣、(転じて)偉大なる叡智\nsacred sword, (derivative meaning) great wisdom\nCult Ciel Note
dje	[?]\nn.\n体\nbody\nPastalie [Unofficial]
dn	[doun]\np.\n～で ( 手段。byに相当)\n(instrument/location/cause/time marker) (Note: Used to indicate means. Equivalent to the English ""by"").\nNew Testament of Pastalie
doodu	[do^dou]\nn.\n大地\nground, earth\nNew Testament of Pastalie
dople	[dopure]\nv.\n排除する\nremove, exclude, reject\nCentral Standard Note
dor	[do^ru]\nn.\n大地、大陸\nground, continent\nCentral Standard Note
dorn	[dorun]\nn.\n木\ntree, wood\nCentral Standard Note
dornpica	[dourunpika]\nn.\n木の実\nnut, fruit, seed\nCult Ciel Note
dralee	[?]\nv./n.\n供物\nOffer, offering\nUnknown [Unofficial]
drone	[douro^ne]\nv.\nダウンロード、取り込む\ndownload, take in\nCentral Standard Note
dsier	[diea]\nn.\n欲望\ndesire\nCentral Standard Note
du	[dou]\np.\n～を\n(direct object marker)\nNew Testament of Pastalie
dyya	[dei^a]\nn.\n日（英語のDay） (『一日』や『その日』など時間や期間を表す為に用いる。『何日目』の場合はdyyalを参照)\nday (Note: Used only for phrases such as ""one day"" or ""that day"". For phrases with aa definite number of days, ""dyyal"" is used instead)\nCentral Standard Note
dyyal	[dei^aru]\nn.\n～日目\ndays (counter suffix)\nCentral Standard Note
eazas	[i^zasu]\nadj.\n互いに (愛し合う→hartes eazasのように、動詞の後に付けて使う)\nmutually (Note: It can be attached to the end of a verb, like this: ""hartes eazas"" -> ""mutual love"")\nCentral Standard Note
echrra	[ekura]\nv.\n共鳴する\nresonate\nCentral Standard Note
ee	[iee]\nv.\n偉大なる、讃える\nexalt, praise\nMetafalss Note
eetor	[etou^]\nn.\n向こう側\nother (side/person)\nCentral Standard Note
eje	[ejie]\nn.\n心、気持ち\nheart, mind, feeling\nNew Testament of Pastalie
elle	[eru]\nprep.\n～から、～よりの、～より (fromに近い意味を持つ単語)\nfrom, out of (Note: It's similar in meaning and use to the English ""from"")\nCentral Standard Note
elye	[erie]\nadv.\n未だ、まだ\nhitherto, yet\nNew Testament of Pastalie
en	[en]\nconj.\nそして、～だから、～ために (英語のandです)\nand, because, for (Note: Direct equivalent to the English ""and"")\nCentral Standard Note
enclone	[enkuroune]\nv.\n包み込む\nwrap up\nMetafalss Note
endia	[endeia]\nv.\n止める、終わらせる\nstop, end\nMetafalss Note
ene	[enu]\nv.\n思う、感慨深くなる\nthink, feel deeply\nCult Ciel Note
enegd	[enegudou]\nv.\n痺れる\nbecome numb\nCentral Standard Note
enerel	[enereru]\nadv.\nずっと\nalways, forever\nCult Ciel Note
enesse	[enesse]\nn.\n想い\nemotion\nCult Ciel Note
engassya	[enga^sha]\nn.\n生け贄\nsacrifice\nCentral Standard Note
engua	[?]\nadjective\n? \npredestined, inevitable, unchangeable \nUnknown [Unofficial]
enne	[enie]\nn.\n祈り、願い（いい意味）\nprayer, request (with good intentions)\nCentral Standard Note
enrer	[enrya]\nadv.\n常日頃から、いつも\nalways, usually\nCult Ciel Note
enter	[enteru]\nverb\n〜に入り込む \nenter \nCentral Standard Note
envied	[?]\nadjective\n愚か \nstupid, idiotic \nUnknown [Unofficial]
enw	[en'u]\nconj.\n～しながら\nwhile doing ~\nCentral Standard Note
erlla	[?]\nadjective, adverb\nもっと \nvery much, more, further \nUnknown [Unofficial]
erphy	[?]\nnoun\n思い出 \nmemory, rememberance \nUnknown [Unofficial]
erra	[e^ra]\nE.s. III\n永遠にこのままでいたい\nI want this to last eternally\nCentral Standard Note
ess	[e^su]\nprep.\n～で (英語のin相当)\n(instrument/location/cause/time marker) (Note: Equivalent to the English ""in"")\nNew Testament of Pastalie
et	[e]\nadj.\n大きい\nlarge\nCentral Standard Note
eta	[e^ta]\nv.\n食べる\neat\nCentral Standard Note
etealune	[eterunee]\nn.\n永遠、永久\neternity\nMetafalss Note
eterne	[ete^rune]\nn.\n永遠、永久\neternity\nAlpha Note (EOLIA)
eux	[yukusu]\nn.\n目\neye\nCentral Standard Note
ewle	[?]\nadj.\n長い\nlong\nUnknown [Unofficial]
exali	[?]\nadj.\n眩しい\nradiant, dazzling\nPastalie [Unofficial]
exec	[eguzeku]\nv.\n実行する\nexecute, put into practise\nCentral Standard Note
f.p.n.	[?]\nE.v.\n降りしきる\ndownpour\nPastalie [Unofficial]
f.r.l.	[fururu]\nE.v.\n怯える\nbe frightened\nNew Testament of Pastalie
f.s.	[efusu]\nE.v\n囁く\nwhisper, murmur\nNew Testament of Pastalie
f.w.r.	[fuuru]\nE.v.\n受け入れる\naccept\nNew Testament of Pastalie
f.w.r.n.	[fuurun]\nE.v.\n包みこむ\nsurround, enfold\nNew Testament of Pastalie
faf	[fafu]\nadj.\n怖い\nscary, frightening\nCult Ciel Note
faiy	[?]\nadj.\n刹那の\nmomentary, transient\nUnknown [Unofficial]
faja	[fa^ja]\nv.\n進む (主に普通に進む場合はこちら。集団で移動する場合はZahha)\nadvance, make progress (Note: It's used for indicating the advancing of an individual or small groups. For the advancing of large groups, ""Zahha"" it's used instead).\nCult Ciel Note
falfa	[?]\nn.\n安寧\npeace\nUnknown [Unofficial]
famfa	[fanfa]\nv.\nはばたく\nfly, flap wings\nCentral Standard Note
fanalea	[?]\nadj.\n高らかに\nloudly, sonorously\nUnknown [Unofficial]
fandel	[fanderu]\nadj.\n数多の、幾多の\nmany, in great numbers\nMetafalss Note
fane	[fa^ne]\nn.\n慈愛\naffection, kindness, love\nCentral Standard Note
fatele	[fatere^]\nn.\n父\nfather\nMetafalss Note
fatere	[fa^tere]\nadv.\nさもなくば・そうしなければ～でしょう\nif not ~ then probably ~\nCentral Standard Note
fau	[fau]\nn.\n鳥 (「小」鳥ではない)\nbird (Note: not used for small birds)\nMetafalss Note
faura	[faura]\nn.\n小鳥、幼い鳥\nsmall/baby bird\nMetafalss Note
fayra	[faira]\nn.\n火、炎\nfire, blaze\nCentral Standard Note
fedyya	[fidei^a]\nn.\n明日 (未来の意味でも使用可)\ntomorrow (Note: Can also mean ""future"")\nCentral Standard Note
fee	[?]\nn.\n風\nwind\nUnknown [Unofficial]
ferda	[feruda]\nv.\n宿る\ndwell, live in\nMetafalss Note
fernia	[fe^nya]\nv.\n微笑む\nsmile\nCult Ciel Note
fhau	[?]\nnoun\n光 \nlight \nUnknown [Unofficial]
fhauri	[?]\nadjective\n光の \nlight-borne \nUnknown [Unofficial]
fhyu	[hyufu]\nn.\n風\nwind\nCentral Standard Note
firanzia	[?]\nn.\n世の終焉\nend of the world\nUnknown [Unofficial]
firga	[?]\nnoun\n過去 \npast \nUnknown [Unofficial]
firle	[firure]\nv.\n感じる\nfeel, sense\nMetafalss Note
flare	[furare]\nv.\n浮かぶ 浮く\nfloat, suspend (in the air)\nCentral Standard Note
flip	[furipu]\nv.\nひっくり返る、フリップフロップ転送コマンド\nreverse, command for flip-flop conversion\nCult Ciel Note
fluy	[furyui]\nn.\n泉、湧水\nspring, well\nCentral Standard Note
focs	[?]\nadj.\n深い\ndeep, thick\nUnknown [Unofficial]
fogabe	[fo^geibu]\nv.\n許す\nforgive, allow, pardon\nCentral Standard Note
folten	[foruten]\nprep.\n前 （位置、方向を指す）\nbefore (position/direction), in front of\nCentral Standard Note
forgandal	[fo^gandaru]\nCon.\nなぜならば！\nBecause of...!\nCult Ciel Note
forlindel	[fo^rinderu]\nn.\n村長の一族\nhead family of a village\nCult Ciel Note
forlinden	[fo^rinden]\nn.\n村\nvillage\nCult Ciel Note
foul	[fouru]\nn.\n不思議、神秘\nwonder, miracle, mystery\nCult Ciel Note
fountaina	[faunteina]\nv./adj.\n覆う、満たす、埋める (覆うような、など、量や規模を表す形容詞としても同形で使用可)\nfill up, cover, hide (Note: It can also be used as an adjective to indicate the amount and scope of something)\nCentral Standard Note
fowrlle	[fowa^ru]\nv./n.\n慰める、癒す、慰安\ncomfort, heal, relaxation\nCentral Standard Note
frawr	[ra^wa]\nn.\n花\nflower\nCentral Standard Note
frawrle	[rawa^ru]\nn.\n春\nspring (season)\nCult Ciel Note
frissoner	[furissonea]\nv.\n震える\nshiver\nCentral Standard Note
frreie	[?]\nv.\n解き放つ\nrelease\nUnknown [Unofficial]
fs	[fusu]\nn.\nそよ風 (Eをつけると意訳で「ささやき」)\nbreeze (when it has an ""E"" emotion vowel in front, its meaning changes to ""whisper"").\nNew Testament of Pastalie
ftt	[futsu]\nv.\n消える\nvanish\nCentral Standard Note
fulual	[furuaru]\nv.\n叶う\ncome true (wish)\nCentral Standard Note
fusya	[fu^sha]\nv.\n包む\nwrap\nCentral Standard Note
futare	[futa^re]\nn.\n未来\nfuture\nCentral Standard Note
fwal	[fuwaru]\nn./v.\n翼, 進める, 運ぶ\nwing, advance, transport\nCult Ciel Note
fwilla	\nn.\n雫\ndrop, droplet\n
fwillra	[fira]\nn.\n羽、羽毛、ひとひら (fwalは翼、fwillraは羽や羽毛のひとひら)\nfeather, plumage, petal (Note: contrary to ""fwal"", which means ""wings"", ""fwirlla"" only refers to the feathers and plumage)\nCult Ciel Note
g.k.n.	[gatsun]\nE.v.\nたべる\neat\nNew Testament of Pastalie
g.v.w.	[?]\nE.v.\n戦う\nfight, battle\nPastalie [Unofficial]
g.w.f.r.	[guufuru]\nE.v.\n裁く\njudge\nNew Testament of Pastalie
g.w.n.	[?]\nEmotion Verb\n導く \nlead, guide \nPastalie [Unofficial]
ga	[ga]\nE.s. III\nはやく脱したい\nI want this to end soon\nCentral Standard Note
gagis	[gyagisu]\nE.s. III\n自分はどうなってもいい\nI'm all right like this\nMetafalss Note
ganna	[gana]\nadj./n.\n固い、頑なな、堅牢な、石、岩 (物質・精神両方の意味で「カタイ」ものの表現に使用可。名詞としては石や岩も指す。\nstrong, stubborn, solid, stone, rock (Note: It's normally used to indicate the hardness of a material or the stubbornness of a mind. As a noun, it means ""rock"" and ""stone"")\nCentral Standard Note
garlden	[garuden]\nn.\n町\ntown\nCentral Standard Note
gasar	[gasaru]\nn.\nぬいぐるみ\ndoll, stuffed animal\nNew Testament of Pastalie
gat	[gatto]\nn.\n呪い\ncurse\nCentral Standard Note
gatyunla	[gachunra]\nn.\n呪いの地、地獄\ncursed land, hell\nCult Ciel Note
gatyuny	[gachuni]\nn.\n呪い\ncurse\nCult Ciel Note
gaunji	[?]\nv.\n苛む\ntorment, torture\nUnknown [Unofficial]
gauto	[?]\nnoun\n暗い空、曇天、暗い曇 \ndark skies, overcast, dark clouds \nUnknown [Unofficial]
gauv	[?]\nn.\n罪、咎\nsin, blame\nUnknown [Unofficial]
gauzewiga	[gaunze^vi^ga]\nv.\n絶望する\ndespair\nMetafalss Note
gaya	[gaya]\nE.s. III\n二度と先の状態に戻りたくない\nI never want to go back to how I was before\nCentral Standard Note
geeow	[gio]\nn./v.\n誓い、誓う、決意(する)\noath, vow, resolve\nCentral Standard Note
getrra	[gettora]\nadj.\n汚れた\ndirty, impure\nCentral Standard Note
gfine	[?]\nnoun\n時間 \ntime \nUnknown [Unofficial]
gigeadeth	[gigadeisu]\nadj./n.\n鋼鉄の、鉄 (形容詞・名詞同形で使用可)\nsteel, iron (Note: It can be used both as an adjective and a noun)\nCentral Standard Note
giue	[?]\nn.\n体\nbody\nUnknown [Unofficial]
giz	[?]\nn./v.\n恐怖\nfear, dread, terror\nUnknown [Unofficial]
gkgul	[gukkuru]\nadj.\nひび割れた\ncracked\nNew Testament of Pastalie
glansee	[guranzui]\nadj.\n神々しい、偉大な (LYAをつけると意訳で「神」)\ndivine, exalted (Note: adding ""LYA"" before it changes its meaning to ""God"").\nNew Testament of Pastalie
glasden	[gurasuden]\nadj.\n最高\nhighest, supreme, most\nMetafalss Note
